Year,Period,labor_force_participation_rate,employment_population-ratio,labor_force,employment,unemployment,unemployment_rate
2006,Dec,62.8,60.1,9502870,9102977,399893,4.2
2007,Jan,62.7,60.1,9499799,9102241,397558,4.2
2007,Feb,62.6,60,9494831,9096946,397885,4.2
2007,Mar,62.6,59.9,9488991,9088533,400458,4.2
2007,Apr,62.5,59.8,9484728,9079753,404975,4.3
2007,May,62.5,59.8,9484366,9073042,411324,4.3
2007,Jun,62.5,59.7,9488494,9070029,418465,4.4
2007,Jul,62.5,59.7,9497120,9071651,425469,4.5
2007,Aug,62.5,59.7,9509680,9077545,432135,4.5
2007,Sep,62.6,59.7,9525259,9087657,437602,4.6
2007,Oct,62.7,59.8,9541506,9099049,442457,4.6
2007,Nov,62.8,59.8,9556141,9109703,446438,4.7
2007,Dec,62.8,59.9,9568190,9118591,449599,4.7
2008,Jan,62.8,59.9,9577044,9124073,452971,4.7
2008,Feb,62.9,59.9,9583530,9126805,456725,4.8
2008,Mar,62.9,59.9,9590062,9128290,461772,4.8
2008,Apr,62.9,59.8,9599018,9129190,469828,4.9
2008,May,63,59.8,9612247,9130656,481591,5
2008,Jun,63.1,59.8,9630028,9133515,496513,5.2
2008,Jul,63.2,59.8,9649719,9136086,513633,5.3
2008,Aug,63.3,59.8,9668018,9135938,532080,5.5
2008,Sep,63.3,59.7,9682451,9129223,553228,5.7
2008,Oct,63.4,59.6,9693575,9114128,579447,6
2008,Nov,63.4,59.4,9703038,9091347,611691,6.3
2008,Dec,63.4,59.2,9711658,9062948,648710,6.7
2009,Jan,63.4,59,9719617,9031621,687996,7.1
2009,Feb,63.5,58.7,9727756,9000993,726763,7.5
2009,Mar,63,58,9657401,8896423,760978,7.9
2009,Apr,63,57.9,9666899,8879394,787505,8.1
2009,May,63,57.8,9672903,8866030,806873,8.3
2009,Jun,63,57.7,9673753,8852531,821222,8.5
2009,Jul,63,57.5,9668943,8836214,832729,8.6
2009,Aug,62.9,57.4,9659298,8816461,842837,8.7
2009,Sep,62.8,57.2,9647854,8796265,851589,8.8
2009,Oct,62.7,57.1,9636718,8778512,858206,8.9
2009,Nov,62.6,57,9630492,8767080,863412,9
2009,Dec,62.6,56.9,9633209,8765800,867409,9
2010,Jan,62.6,57,9644070,8775340,868730,9
2010,Feb,62.7,57.1,9657047,8790529,866518,9
2010,Mar,62.7,57.1,9666303,8804772,861531,8.9
2010,Apr,63,57.5,9669447,8814800,854647,8.8
2010,May,63,57.5,9665480,8819490,845990,8.8
2010,Jun,62.9,57.4,9654362,8817095,837267,8.7
2010,Jul,62.7,57.3,9638270,8807520,830750,8.6
2010,Aug,62.6,57.2,9621243,8794278,826965,8.6
2010,Sep,62.4,57.1,9605787,8780710,825077,8.6
2010,Oct,62.3,57,9593183,8770596,822587,8.6
2010,Nov,62.2,56.9,9581746,8764573,817173,8.5
2010,Dec,62.1,56.8,9570220,8761434,808786,8.5
2011,Jan,62,56.8,9559651,8760232,799419,8.4
2011,Feb,61.9,56.7,9548708,8757912,790796,8.3
2011,Mar,61.8,56.7,9536257,8752207,784050,8.2
2011,Apr,61.6,56.6,9523346,8742652,780694,8.2
2011,May,61.5,56.5,9513763,8731832,781931,8.2
2011,Jun,61.5,56.4,9510326,8723753,786573,8.3
2011,Jul,61.5,56.3,9514587,8722045,792542,8.3
2011,Aug,61.5,56.3,9524566,8725968,798598,8.4
2011,Sep,61.5,56.3,9536393,8732476,803917,8.4
2011,Oct,61.6,56.4,9548032,8739046,808986,8.5
2011,Nov,61.6,56.4,9556997,8743315,813682,8.5
2011,Dec,61.6,56.3,9561987,8744223,817764,8.6
2012,Jan,61.6,56.3,9564435,8742699,821736,8.6
2012,Feb,61.6,56.3,9568747,8742066,826681,8.6
2012,Mar,61.6,56.3,9575456,8742131,833325,8.7
2012,Apr,61.6,56.2,9581857,8742019,839838,8.8
2012,May,61.7,56.2,9588258,8744437,843821,8.8
2012,Jun,61.7,56.2,9595186,8751630,843556,8.8
2012,Jul,61.7,56.3,9602750,8764316,838434,8.7
2012,Aug,61.7,56.4,9612652,8781926,830726,8.6
2012,Sep,61.8,56.5,9625882,8802411,823471,8.6
2012,Oct,61.8,56.6,9638067,8820734,817333,8.5
2012,Nov,61.8,56.6,9645668,8833612,812056,8.4
2012,Dec,61.8,56.7,9647282,8840572,806710,8.4
2013,Jan,61.8,56.6,9643243,8842773,800470,8.3
2013,Feb,61.7,56.6,9637148,8844420,792728,8.2
2013,Mar,61.7,56.7,9634141,8850795,783346,8.1
2013,Apr,61.7,56.7,9638121,8864330,773791,8
2013,May,61.7,56.8,9646461,8880236,766225,7.9
2013,Jun,61.8,56.9,9655330,8893914,761416,7.9
2013,Jul,61.8,56.9,9660293,8902869,757424,7.8
2013,Aug,61.7,56.9,9655577,8906160,749417,7.8
2013,Sep,61.6,56.9,9640261,8905146,735115,7.6
2013,Oct,61.4,56.9,9620358,8902906,717452,7.5
2013,Nov,61.3,56.8,9601154,8901935,699219,7.3
2013,Dec,61.2,56.8,9583747,8901999,681748,7.1
2014,Jan,61.1,56.8,9568507,8903251,665256,7
2014,Feb,61,56.8,9555038,8905204,649834,6.8
2014,Mar,60.9,56.8,9543233,8906972,636261,6.7
2014,Apr,60.8,56.8,9531922,8907932,623990,6.5
2014,May,60.7,56.8,9521136,8909964,611172,6.4
2014,Jun,60.6,56.8,9512596,8914743,597853,6.3
2014,Jul,60.6,56.8,9506832,8921190,585642,6.2
2014,Aug,60.6,56.9,9505320,8929372,575948,6.1
2014,Sep,60.6,56.9,9507458,8938865,568593,6
2014,Oct,60.6,57,9510169,8948744,561425,5.9
2014,Nov,60.6,57,9512399,8958578,553821,5.8
2014,Dec,60.6,57.1,9517113,8969792,547321,5.8
2015,Jan,60.6,57.2,9524954,8982601,542353,5.7
2015,Feb,60.7,57.3,9533927,8995441,538486,5.6
2015,Mar,60.7,57.3,9542416,9008594,533822,5.6
2015,Apr,60.8,57.4,9548293,9021384,526909,5.5
2015,May,60.8,57.5,9549164,9032002,517162,5.4
2015,Jun,60.7,57.5,9543550,9038865,504685,5.3
2015,Jul,60.7,57.5,9534767,9043435,491332,5.2
2015,Aug,60.6,57.6,9527129,9047482,479647,5
2015,Sep,60.6,57.6,9523717,9053257,470460,4.9
2015,Oct,60.6,57.6,9527500,9062751,464749,4.9
2015,Nov,60.6,57.7,9537575,9074704,462871,4.9
2015,Dec,60.7,57.8,9548386,9085645,462741,4.8
2016,Jan,60.8,57.8,9554664,9092379,462285,4.8
2016,Feb,60.8,57.8,9553707,9092674,461033,4.8
2016,Mar,60.7,57.8,9545384,9086193,459191,4.8
2016,Apr,60.6,57.7,9533668,9075462,458206,4.8
2016,May,60.6,57.6,9523916,9064157,459759,4.8
2016,Jun,60.5,57.6,9518429,9054675,463754,4.9
2016,Jul,60.5,57.5,9516807,9048360,468447,4.9
2016,Aug,60.5,57.5,9517447,9045264,472183,5
2016,Sep,60.5,57.5,9518718,9044383,474335,5
2016,Oct,60.5,57.5,9518573,9045425,473148,5
2016,Nov,60.5,57.5,9517508,9050218,467290,4.9
2016,Dec,60.5,57.6,9518132,9059508,458624,4.8
2017,Jan,60.6(R),57.7(R),9786877(R),9326683(R),460194(R),4.7(R)
2017,Feb,60.7(R),57.8(R),9800351(R),9346626(R),453725(R),4.6(R)
2017,Mar,60.7(R),58.0(R),9817572(R),9366666(R),450906(R),4.6(R)
2017,Apr,60.9(R),58.1(R),9835869(R),9384093(R),451776(R),4.6(R)
2017,May,60.9(R),58.1(R),9852683(R),9398001(R),454682(R),4.6(R)
2017,Jun,61.0(R),58.2(R),9865598(R),9407322(R),458276(R),4.6(R)
2017,Jul,61.0(R),58.2(R),9872094(R),9410601(R),461493(R),4.7(R)
2017,Aug,61.0(R),58.1(R),9870248(R),9407451(R),462797(R),4.7(R)
2017,Sep,60.9(R),58.1(R),9860903(R),9399265(R),461638(R),4.7(R)
2017,Oct,60.8(R),58.0(R),9846668(R),9388484(R),458184(R),4.7(R)
2017,Nov,60.7(R),57.9(R),9830847(R),9377414(R),453433(R),4.6(R)
2017,Dec,60.6(R),57.8(R),9817592(R),9370967(R),446625(R),4.5(R)
2018,Jan,60.6(R),57.9(R),9811681(R),9373350(R),438331(R),4.5(R)
2018,Feb,60.6(R),57.9(R),9815682(R),9386086(R),429596(R),4.4(R)
2018,Mar,60.6(R),58.0(R),9827553(R),9406848(R),420705(R),4.3(R)
2018,Apr,60.7(R),58.2(R),9840981(R),9429347(R),411634(R),4.2(R)
2018,May,60.8(R),58.3(R),9849643(R),9446654(R),402989(R),4.1(R)
2018,Jun,60.8(R),58.3(R),9851785(R),9456523(R),395262(R),4.0(R)
2018,Jul,60.7(R),58.3(R),9849030(R),9459881(R),389149(R),4.0(R)
2018,Aug,60.7(R),58.3(R),9845885(R),9459747(R),386138(R),3.9(R)
2018,Sep,60.7(R),58.3(R),9844431(R),9457863(R),386568(R),3.9(R)
2018,Oct,60.7(R),58.3(R),9845546(R),9456826(R),388720(R),3.9(R)
2018,Nov,60.7(R),58.3(R),9849131(R),9458921(R),390210(R),4.0(R)
2018,Dec,60.7(R),58.3(R),9854208(R),9464583(R),389625(R),4.0(R)
2019,Jan,60.7(R),58.3(R),9858570(R),9472023(R),386547(R),3.9(R)
2019,Feb,60.7(R),58.4(R),9860331(R),9479650(R),380681(R),3.9(R)
